Binomial,order,family,genus,species,Sample_size.brain,Sample_size.body,Sex,Mean_brain_mass_g,Mean_body_mass_g,BrainReference1,BrainReference2,Brain.resid,T_resid
Chrysochloris_stuhlmanni,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,">2,<12",,Both,1.06,50.05,Boddy2012,Stephanetal.1981; Mace.etal.1981,0.010717303,0.172364142
Microgale_cowani,Afrosoricida,Tenrecidae,Microgale,cowani,1,,,0.42,15.2,Boddy2012,Stephanetal.1981,-0.003165331,0.041995912
Microgale_dobsoni,Afrosoricida,Tenrecidae,Microgale,dobsoni,1,,,0.56,32.6,Boddy2012,Stephanetal.1981,-0.12675939,-0.007016914
Oryzorictes_hova,Afrosoricida,Tenrecidae,Oryzorictes,hova,1,,,0.58,44.2,Boddy2012,Stephanetal.1981,-0.210673837,-0.061176503
Echinops_telfairi,Afrosoricida,Tenrecidae,Echinops,telfairi,2,,,0.62,87.5,Boddy2012,Stephanetal.1981,-0.404151525,-0.187902628
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,1,,,0.7,49,Boddy2012,Stephanetal.1981,-0.162584458,-0.003010033
Microgale_talazaci,Afrosoricida,Tenrecidae,Microgale,talazaci,1,,,0.79,50.4,Boddy2012,Stephanetal.1981,-0.119231333,0.04309666
Micropotamogale_lamottei,Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,,,0.8,69.59,Patzke.etal.2015/Pantheria,Baronetal.1996,-0.218856629,-0.024993133
Hemicentetes_semispinosus,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,1,,,0.83,110,Boddy2012,Stephanetal.1981,-0.352004282,-0.113387221
Limnogale_mergulus,Afrosoricida,Tenrecidae,Limnogale,mergulus,1,,,1.15,92,Boddy2012,Stephanetal.1981,-0.152180355,0.068970442
Setifer_setosus,Afrosoricida,Tenrecidae,Setifer,setosus,2,,,1.51,248,Boddy2012,Stephanetal.1981,-0.35690211,-0.038823251
Tenrec_ecaudatus,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,3,,,2.84,907,Boddy2012,Stephanetal.1981,-0.504931307,-0.060104914
Potamogale_velox,Afrosoricida,Tenrecidae,Potamogale,velox,3,,,4.05,650,Boddy2012,"Stephan.etal1981,Stolzenburg1989",-0.242273177,0.16998744
Tragelaphus_scriptus,Artiodactyla,Bovidae,Tragelaphus,scriptus,2,,Both,165,44225,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.006822764,-0.161779463
Rangifer_tarandus,Artiodactyla,Cervidae,Rangifer,tarandus,4,,Both,278,71700,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.062348154,-0.094057929
Syncerus_caffer,Artiodactyla,Bovidae,Syncerus,caffer,2,,Both,647.5,665440,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995; Quiring 1938,-0.296155855,0.046343583
Odocoileus_virginianus,Artiodactyla,Cervidae,Odocoileus,virginianus,4,,F or both,210,65090,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.027973394,-0.113572186
Damaliscus_pygargus,Artiodactyla,Bovidae,Damaliscus,pygargus,1,,Female,254.6,62500,Boddy2012,Sherwoodetal.2008; Myers 2006,0.068891523,-0.102912366
Tragelaphus_eurycerus,Artiodactyla,Bovidae,Tragelaphus,eurycerus,1,,Female,389,253000,Boddy2012,Sherwoodetal.2008; Silva & Downing 1995,-0.202451842,-0.051649192
Hippopotamus_amphibius,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1,,Female,720,1351000,Boddy2012,Crile & Quiring 1940,-0.480725087,0.081529715
Tragelaphus_imberbis,Artiodactyla,Bovidae,Tragelaphus,imberbis,,,Female,219,145000,IslerVanSchaik2012,,-0.270641272,-0.110823358
Kobus_leche,Artiodactyla,Bovidae,Kobus,leche,,,Female,222.7,123000,IslerVanSchaik2012,,-0.209767508,-0.109742654
Dama_dama,Artiodactyla,Cervidae,Dama,dama,,,Female,224.5,37195,IslerVanSchaik2012,,0.183297615,-0.10502598
Tragelaphus_angasii,Artiodactyla,Bovidae,Tragelaphus,angasii,,,Female,230,137000,IslerVanSchaik2012,,-0.230871804,-0.103654229
Lama_glama,Artiodactyla,Camelidae,Lama,glama,,,Female,264.2,90217,IslerVanSchaik2012,,-0.034591436,-0.101668657
Hippotragus_niger,Artiodactyla,Bovidae,Hippotragus,niger,,,Female,282,165000,IslerVanSchaik2012,,-0.202923622,-0.093801768
Alcelaphus_buselaphus,Artiodactyla,Bovidae,Alcelaphus,buselaphus,,,Female,284.9,114750,IslerVanSchaik2012,,-0.080180755,-0.076639966
Damaliscus_lunatus,Artiodactyla,Bovidae,Damaliscus,lunatus,,,Female,290.6,111000,IslerVanSchaik2012,,-0.060755208,-0.069620978
Oryx_gazella,Artiodactyla,Bovidae,Oryx,gazella,,,Female,292,165000,IslerVanSchaik2012,,-0.187789879,-0.068228309
Tragelaphus_buxtoni,Artiodactyla,Bovidae,Tragelaphus,buxtoni,,,Female,330,280000,IslerVanSchaik2012,,-0.30691594,-0.06615222
Tragelaphus_strepsiceros,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,,,Female,361,280000,IslerVanSchaik2012,,-0.267922678,-0.056239023
Hippotragus_equinus,Artiodactyla,Bovidae,Hippotragus,equinus,,,Female,387.9,238375,IslerVanSchaik2012,,-0.184286624,-0.054181779
Taurotragus_oryx,Artiodactyla,Bovidae,Taurotragus,oryx,,,Female,440,4.00E+05,IslerVanSchaik2012,,-0.298154742,-0.041972457
Bos_taurus,Artiodactyla,Bovidae,Bos,taurus,,,Female,452.8,46100,IslerVanSchaik2012,,0.418074773,-0.027385076
Bison_bison,Artiodactyla,Bovidae,Bison,bison,,,Female,458,431500,IslerVanSchaik2012,,-0.305432774,-0.021365042
Taurotragus_derbianus,Artiodactyla,Bovidae,Taurotragus,derbianus,,,Female,534,9.00E+05,IslerVanSchaik2012,,-0.47820548,-0.00515188
Camelus_dromedarius,Artiodactyla,Camelidae,Camelus,dromedarius,,,Female,762,4.00E+05,IslerVanSchaik2012,,-0.059652447,0.104700001
Madoqua_kirkii,Artiodactyla,Bovidae,Madoqua,kirkii,1,,Male,37,4570,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.083215547,-0.335198125
Eudorcas_thomsonii,Artiodactyla,Bovidae,Eudorcas,thomsonii,2,,Male,91.8,24370,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.067353007,-0.238592583
Phacochoerus_aethiopicus,Artiodactyla,Suidae,Phacochoerus,aethiopicus,1,,Male,125,65320,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.254431615,-0.192234679
Aepyceros_melampus,Artiodactyla,Bovidae,Aepyceros,melampus,2,,Male,175,57610,Boddy2012,"Crile & Quiring 1940, Silva & Downing 1995",-0.067391977,-0.126951465
Axis_axis,Artiodactyla,Cervidae,Axis,axis,1,,Male,219,88450,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.109637167,-0.111675767
Kobus_ellipsiprymnus,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,1,,Male,290,188200,Boddy2012,Quiring 1938; Silva & Downing 1995,-0.233626883,-0.071506023
Connochaetes_taurinus,Artiodactyla,Bovidae,Connochaetes,taurinus,2,,Male,443,212230,Boddy2012,Quiring 1938; Silva & Downing 1995,-0.088761881,-0.041483852
Giraffa_camelopardalis,Artiodactyla,Giraffidae,Giraffa,camelopardalis,2,,Male,700,1209000,Boddy2012,Crile & Quiring 1940; Quiring 1937; Silva & Downing 1995,-0.456787425,0.052666149
Tragulus_javanicus,Artiodactyla,Tragulidae,Tragulus,javanicus,,,,15.8,2037,IslerVanSchaik2012,,-0.02313279,-0.723395326
Moschiola_meminna,Artiodactyla,Tragulidae,Moschiola,meminna,4,,,16.93,1997,Boddy2012,Warncke 1908,0.013326863,-0.541711662
Tragulus_napu,Artiodactyla,Tragulidae,Tragulus,napu,1,,,18.5,2510,Boddy2012,Warncke 1908,-0.022630794,-0.5100075
Hyemoschus_aquaticus,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,,,,25.2,10800,IslerVanSchaik2012,,-0.363718879,-0.45767788
Neotragus_moschatus,Artiodactyla,Bovidae,Neotragus,moschatus,,,,32,3250,Perez-Barberia.etal.2007,Dunbar.2006,0.131189452,-0.361083115
Philantomba_maxwellii,Artiodactyla,Bovidae,Philantomba,maxwellii,,,,38,3357,IslerVanSchaik2012,,0.195271988,-0.324401208
Philantomba_monticola,Artiodactyla,Bovidae,Philantomba,monticola,,,,48,5650,Perez-Barberia.etal.2007,Dunbar.2006,0.127155239,-0.317913259
Raphicerus_campestris,Artiodactyla,Bovidae,Raphicerus,campestris,,,,51.3,10200,IslerVanSchaik2012,,-0.036384196,-0.300707596
Hydropotes_inermis,Artiodactyla,Cervidae,Hydropotes,inermis,,,,52,11300,Perez-Barberia.etal.2007,Dunbar.2006,-0.063857228,-0.300332494
Raphicerus_melanotis,Artiodactyla,Bovidae,Raphicerus,melanotis,,,,55,10100,Perez-Barberia.etal.2007,Dunbar.2006,-0.002929743,-0.287767607
Mazama_americana,Artiodactyla,Cervidae,Mazama,americana,,,,56,3500,Perez-Barberia.etal.2007,Dunbar.2006,0.350088766,-0.278703123
Ourebia_ourebi,Artiodactyla,Bovidae,Ourebia,ourebi,,,,58.3,14617,IslerVanSchaik2012,,-0.098027641,-0.270578044
Oreotragus_oreotragus,Artiodactyla,Bovidae,Oreotragus,oreotragus,,,,59.4,11000,IslerVanSchaik2012,,0.002690273,-0.268692193
Gazella_dorcas,Artiodactyla,Bovidae,Gazella,dorcas,,,,70.8,17275,IslerVanSchaik2012,,-0.068083295,-0.25556625
Sylvicapra_grimmia,Artiodactyla,Bovidae,Sylvicapra,grimmia,,,,77.2,12625,IslerVanSchaik2012,,0.071641689,-0.253426642
Cephalophus_zebra,Artiodactyla,Bovidae,Cephalophus,zebra,,,,83,10000,IslerVanSchaik2012,,0.17902672,-0.251695517
Cephalophus_natalensis,Artiodactyla,Bovidae,Cephalophus,natalensis,,,,84.1,12500,Perez-Barberia.etal.2007,Dunbar.2006,0.112061445,-0.247613546
Cephalophus_nigrifrons,Artiodactyla,Bovidae,Cephalophus,nigrifrons,,,,85,13650,Perez-Barberia.etal.2007,Dunbar.2006,0.088017132,-0.239882629
Capreolus_capreolus,Artiodactyla,Cervidae,Capreolus,capreolus,,,,92.7,17472,IslerVanSchaik2012,,0.045269724,-0.238212469
Cephalophus_dorsalis,Artiodactyla,Bovidae,Cephalophus,dorsalis,,,,92.897,19998.6187,Barton&Capellini2011,,0.00219824,-0.2244173
Cephalophus_leucogaster,Artiodactyla,Bovidae,Cephalophus,leucogaster,,,,93,13000,Perez-Barberia.etal.2007,Dunbar.2006,0.142973275,-0.223265432
Pecari_tajacu,Artiodactyla,Tayassuidae,Pecari,tajacu,,,,101.5,18309,IslerVanSchaik2012,,0.069414389,-0.219101038
Redunca_fulvorufula,Artiodactyla,Bovidae,Redunca,fulvorufula,,,,109,31000,Perez-Barberia.etal.2007,Dunbar.2006,-0.071149535,-0.21897114
Antilope_cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,,,,110.8,28800,IslerVanSchaik2012,,-0.040059147,-0.21661238
Capra_hircus,Artiodactyla,Bovidae,Capra,hircus,,,,115,27660,IslerVanSchaik2012,,-0.010745713,-0.208322349
Litocranius_walleri,Artiodactyla,Bovidae,Litocranius,walleri,,,,117.5,39750,IslerVanSchaik2012,,-0.119520491,-0.204674723
Rupicapra_rupicapra,Artiodactyla,Bovidae,Rupicapra,rupicapra,,,,117.8,27167,IslerVanSchaik2012,,0.005559661,-0.203623029
Pelea_capreolus,Artiodactyla,Bovidae,Pelea,capreolus,,,,121,24000,IslerVanSchaik2012,,0.057572943,-0.196358311
Redunca_redunca,Artiodactyla,Bovidae,Redunca,redunca,,,,123,47500,Perez-Barberia.etal.2007,Dunbar.2006,-0.157671137,-0.192778288
Muntiacus_muntjak,Artiodactyla,Cervidae,Muntiacus,muntjak,,,,124.5,16600,IslerVanSchaik2012,,0.190035394,-0.19240227
Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,,,,125.6,46750,IslerVanSchaik2012,,-0.143402566,-0.190227949
Babyrousa_babyrussa,Artiodactyla,Suidae,Babyrousa,babyrussa,,,,127,78000,IslerVanSchaik2012,,-0.305324758,-0.187743147
